clip,sample_idx,ts_utc,fix,lat_deg,lon_deg,speed_mph,bearing_raw,year2k,month,day,hour,minute,second
REC20230712-035809-150.mp4,56,2026-04-26T06:19:20+00:00,1,40.8746847,-96.7308538,49,78,26,4,26,6,19,20
REC20230712-035809-150.mp4,57,2026-04-26T06:19:21+00:00,1,40.8745942,-96.730568,51,78,26,4,26,6,19,21
REC20230712-035809-150.mp4,58,2026-04-26T06:19:22+00:00,1,40.8745032,-96.7302777,51,78,26,4,26,6,19,22
REC20230712-035809-150.mp4,59,2026-04-26T06:19:23+00:00,1,40.8744137,-96.7299848,51,78,26,4,26,6,19,23
REC20230712-035809-150.mp4,60,2026-04-26T06:19:24+00:00,1,40.8743228,-96.7296883,52,78,26,4,26,6,19,24
REC20230712-035909-151.mp4,0,2026-04-26T06:19:25+00:00,1,40.874233,-96.7293918,52,78,26,4,26,6,19,25
REC20230712-035909-151.mp4,1,2026-04-26T06:19:26+00:00,1,40.8741417,-96.7290962,52,78,26,4,26,6,19,26
REC20230712-035909-151.mp4,2,2026-04-26T06:19:27+00:00,1,40.8740498,-96.7287987,52,78,26,4,26,6,19,27
REC20230712-035909-151.mp4,3,2026-04-26T06:19:28+00:00,1,40.8739562,-96.7285,52,78,26,4,26,6,19,28
REC20230712-035909-151.mp4,4,2026-04-26T06:19:29+00:00,1,40.873861,-96.7282015,52,78,26,4,26,6,19,29
REC20230712-035909-151.mp4,5,2026-04-26T06:19:30+00:00,1,40.8737668,-96.7279017,52,78,26,4,26,6,19,30
REC20230712-035909-151.mp4,6,2026-04-26T06:19:31+00:00,1,40.8736725,-96.7276018,53,78,26,4,26,6,19,31
REC20230712-035909-151.mp4,7,2026-04-26T06:19:32+00:00,1,40.8735788,-96.7273007,53,78,26,4,26,6,19,32
REC20230712-035909-151.mp4,8,2026-04-26T06:19:33+00:00,1,40.873486,-96.7269978,53,78,26,4,26,6,19,33
REC20230712-035909-151.mp4,9,2026-04-26T06:19:34+00:00,1,40.8733918,-96.7266955,53,78,26,4,26,6,19,34
REC20230712-035909-151.mp4,10,2026-04-26T06:19:35+00:00,1,40.8732965,-96.7263933,53,78,26,4,26,6,19,35
REC20230712-035909-151.mp4,11,2026-04-26T06:19:36+00:00,1,40.8732012,-96.7260905,53,78,26,4,26,6,19,36
REC20230712-035909-151.mp4,12,2026-04-26T06:19:37+00:00,1,40.8731073,-96.7257885,53,78,26,4,26,6,19,37
REC20230712-035909-151.mp4,13,2026-04-26T06:19:38+00:00,1,40.8730143,-96.7254848,53,78,26,4,26,6,19,38
REC20230712-035909-151.mp4,14,2026-04-26T06:19:39+00:00,1,40.8729215,-96.7251813,53,78,26,4,26,6,19,39
REC20230712-035909-151.mp4,15,2026-04-26T06:19:40+00:00,1,40.8728302,-96.7248798,52,78,26,4,26,6,19,40
REC20230712-035909-151.mp4,16,2026-04-26T06:19:41+00:00,1,40.8727373,-96.724582,52,79,26,4,26,6,19,41
REC20230712-035909-151.mp4,17,2026-04-26T06:19:42+00:00,1,40.872643,-96.7242882,52,78,26,4,26,6,19,42
REC20230712-035909-151.mp4,18,2026-04-26T06:19:43+00:00,1,40.8725498,-96.7239973,51,78,26,4,26,6,19,43
REC20230712-035909-151.mp4,19,2026-04-26T06:19:44+00:00,1,40.8724588,-96.723709,51,78,26,4,26,6,19,44
REC20230712-035909-151.mp4,20,2026-04-26T06:19:45+00:00,1,40.8723695,-96.7234225,50,78,26,4,26,6,19,45
REC20230712-035909-151.mp4,21,2026-04-26T06:19:46+00:00,1,40.872281,-96.7231412,49,78,26,4,26,6,19,46
REC20230712-035909-151.mp4,22,2026-04-26T06:19:47+00:00,1,40.8721925,-96.7228687,47,79,26,4,26,6,19,47
REC20230712-035909-151.mp4,23,2026-04-26T06:19:48+00:00,1,40.8721012,-96.7226037,47,80,26,4,26,6,19,48
REC20230712-035909-151.mp4,24,2026-04-26T06:19:49+00:00,1,40.872006,-96.7223452,46,81,26,4,26,6,19,49
REC20230712-035909-151.mp4,25,2026-04-26T06:19:50+00:00,1,40.8719057,-96.7220933,46,83,26,4,26,6,19,50
REC20230712-035909-151.mp4,26,2026-04-26T06:19:51+00:00,1,40.8717965,-96.7218488,46,85,26,4,26,6,19,51
REC20230712-035909-151.mp4,27,2026-04-26T06:19:52+00:00,1,40.8716778,-96.7216127,46,87,26,4,26,6,19,52
