clip,sample_idx,ts_utc,active,lat_hem,lon_hem,lat_deg,lon_deg,hour,minute,second,year,month,day
20260426000423_000143F.MP4,38,2026-04-26T06:05:02+00:00,A,N,W,40.8410075,-96.7400553,6,5,2,26,4,26
20260426000423_000143F.MP4,39,2026-04-26T06:05:03+00:00,A,N,W,40.8410075,-96.7400553,6,5,3,26,4,26
20260426000423_000143F.MP4,40,2026-04-26T06:05:04+00:00,A,N,W,40.8410116,-96.7400553,6,5,4,26,4,26
20260426000423_000143F.MP4,41,2026-04-26T06:05:05+00:00,A,N,W,40.8410116,-96.7400553,6,5,5,26,4,26
20260426000423_000143F.MP4,42,2026-04-26T06:05:06+00:00,A,N,W,40.8410116,-96.7400553,6,5,6,26,4,26
20260426000423_000143F.MP4,43,2026-04-26T06:05:07+00:00,A,N,W,40.8410156,-96.7400553,6,5,7,26,4,26
20260426000423_000143F.MP4,44,2026-04-26T06:05:08+00:00,A,N,W,40.8410116,-96.7400553,6,5,8,26,4,26
20260426000423_000143F.MP4,45,2026-04-26T06:05:09+00:00,A,N,W,40.8410116,-96.7400228,6,5,9,26,4,26
20260426000423_000143F.MP4,46,2026-04-26T06:05:10+00:00,A,N,W,40.8410116,-96.7399577,6,5,10,26,4,26
20260426000423_000143F.MP4,47,2026-04-26T06:05:11+00:00,A,N,W,40.8410278,-96.7398926,6,5,11,26,4,26
20260426000423_000143F.MP4,48,2026-04-26T06:05:12+00:00,A,N,W,40.8410563,-96.7398275,6,5,12,26,4,26
20260426000423_000143F.MP4,49,2026-04-26T06:05:13+00:00,A,N,W,40.841097,-96.7397624,6,5,13,26,4,26
20260426000423_000143F.MP4,50,2026-04-26T06:05:14+00:00,A,N,W,40.841158,-96.7397135,6,5,14,26,4,26
20260426000423_000143F.MP4,51,2026-04-26T06:05:15+00:00,A,N,W,40.8412313,-96.7396973,6,5,15,26,4,26
20260426000423_000143F.MP4,52,2026-04-26T06:05:16+00:00,A,N,W,40.8413127,-96.739681,6,5,16,26,4,26
20260426000423_000143F.MP4,53,2026-04-26T06:05:18+00:00,A,N,W,40.8414958,-96.7396322,6,5,18,26,4,26
20260426000423_000143F.MP4,54,2026-04-26T06:05:18+00:00,A,N,W,40.8414958,-96.7396322,6,5,18,26,4,26
20260426000423_000143F.MP4,55,2026-04-26T06:05:19+00:00,A,N,W,40.8415934,-96.7396159,6,5,19,26,4,26
20260426000423_000143F.MP4,56,2026-04-26T06:05:20+00:00,A,N,W,40.8416951,-96.7395833,6,5,20,26,4,26
20260426000423_000143F.MP4,57,2026-04-26T06:05:21+00:00,A,N,W,40.841805,-96.7395508,6,5,21,26,4,26
20260426000423_000143F.MP4,58,2026-04-26T06:05:22+00:00,A,N,W,40.8419189,-96.7395182,6,5,22,26,4,26
20260426000423_000143F.MP4,59,2026-04-26T06:05:23+00:00,A,N,W,40.8420329,-96.7394857,6,5,23,26,4,26
20260426000523_000144F.MP4,0,2026-04-26T06:05:24+00:00,A,N,W,40.8421468,-96.7394694,6,5,24,26,4,26
20260426000523_000144F.MP4,1,2026-04-26T06:05:25+00:00,A,N,W,40.8422567,-96.7394694,6,5,25,26,4,26
20260426000523_000144F.MP4,2,2026-04-26T06:05:26+00:00,A,N,W,40.8423584,-96.7394531,6,5,26,26,4,26
20260426000523_000144F.MP4,3,2026-04-26T06:05:27+00:00,A,N,W,40.842452,-96.7394531,6,5,27,26,4,26
20260426000523_000144F.MP4,4,2026-04-26T06:05:28+00:00,A,N,W,40.8425293,-96.7394368,6,5,28,26,4,26
20260426000523_000144F.MP4,5,2026-04-26T06:05:29+00:00,A,N,W,40.8425863,-96.7394368,6,5,29,26,4,26
20260426000523_000144F.MP4,6,2026-04-26T06:05:30+00:00,A,N,W,40.8426351,-96.7394368,6,5,30,26,4,26
20260426000523_000144F.MP4,7,2026-04-26T06:05:31+00:00,A,N,W,40.8426758,-96.7394368,6,5,31,26,4,26
20260426000523_000144F.MP4,8,2026-04-26T06:05:32+00:00,A,N,W,40.8427083,-96.7394368,6,5,32,26,4,26
20260426000523_000144F.MP4,9,2026-04-26T06:05:33+00:00,A,N,W,40.8427246,-96.7394368,6,5,33,26,4,26
20260426000523_000144F.MP4,10,2026-04-26T06:05:34+00:00,A,N,W,40.8427287,-96.7394368,6,5,34,26,4,26
20260426000523_000144F.MP4,11,2026-04-26T06:05:35+00:00,A,N,W,40.8427287,-96.7394368,6,5,35,26,4,26
20260426000523_000144F.MP4,12,2026-04-26T06:05:36+00:00,A,N,W,40.8427246,-96.7394206,6,5,36,26,4,26
20260426000523_000144F.MP4,13,2026-04-26T06:05:37+00:00,A,N,W,40.8427287,-96.7394206,6,5,37,26,4,26
20260426000523_000144F.MP4,14,2026-04-26T06:05:38+00:00,A,N,W,40.8427246,-96.7394206,6,5,38,26,4,26
20260426000523_000144F.MP4,15,2026-04-26T06:05:39+00:00,A,N,W,40.8427246,-96.7394206,6,5,39,26,4,26
20260426000523_000144F.MP4,16,2026-04-26T06:05:40+00:00,A,N,W,40.8427246,-96.7394206,6,5,40,26,4,26
20260426000523_000144F.MP4,17,2026-04-26T06:05:41+00:00,A,N,W,40.8427246,-96.7394368,6,5,41,26,4,26
20260426000523_000144F.MP4,18,2026-04-26T06:05:42+00:00,A,N,W,40.8427287,-96.7394368,6,5,42,26,4,26
