"timeSec","speedMps","rpm","throttlePct","yellowWire","greenWire","obdConnected","arduinoConnected"
-89.1049999713898,0,751,16.1,0,0,1,1
-89.0039999008179,0,750,16.1,0,0,1,1
-88.9039999961853,0,749,16.1,0,0,1,1
-88.8029999256134,0,753,16.1,0,0,1,1
-88.7030000209808,0,754,16.1,0,0,1,1
-88.6030001163483,0,757,16.1,0,0,1,1
-88.5020000457764,0,752,16.1,0,0,1,1
-88.4019999027252,0,749,16.1,0,0,1,1
-88.3010000705719,0,750,16.1,0,0,1,1
-88.2009999275208,0,749,16.1,0,0,1,1
-88.1000000953674,0,746,16.1,0,0,1,1
-87.9999999523163,0,743,16.1,0,0,1,1
-87.8989998817444,0,743,16.1,0,0,1,1
-87.7989999771118,0,740,16.1,0,0,1,1
-87.6990000724793,0,745,16.1,0,0,1,1
-87.5980000019074,0,747,16.1,0,0,1,1
-87.4980000972748,0,743,16.1,0,0,1,1
-87.3979999542236,0,749,16.1,0,0,1,1
-87.2969998836517,0,745,16.1,0,0,1,1
-87.1969999790192,0,751,16.1,0,0,1,1
-87.0959999084473,0,752,16.1,0,0,1,1
-86.9960000038147,0,753,16.1,0,0,1,1
-86.8949999332428,0,755,16.1,0,0,1,1
-86.7950000286102,0,755,16.1,0,0,1,1
-86.6949998855591,0,757,16.1,0,0,1,1
-86.5940000534058,0,759,16.1,0,0,1,1
-86.4939999103546,0,763,16.1,0,0,1,1
-86.3930000782013,0,766,16.1,0,0,1,1
-86.2929999351501,0,766,16.1,0,0,1,1
-86.1920001029968,0,767,16.1,0,0,1,1
-86.0919999599457,0,768,16.1,0,0,1,1
-85.9920000553131,0,763,16.1,0,0,1,1
-85.8909999847412,0,765,16.1,0,0,1,1
-85.7910000801086,0,764,16.1,0,0,1,1
-85.6900000095367,0,765,16.1,0,0,1,1
-85.5900001049042,0,763,16.1,0,0,1,1
-85.4890000343323,0,757,16.1,0,0,1,1
-85.3889998912811,0,756,16.1,0,0,1,1
-85.2880000591278,0,755,16.1,0,0,1,1
-85.1879999160767,0,758,16.1,0,0,1,1
-85.0870000839233,0,757,16.1,0,0,1,1
-84.9869999408722,0,754,16.1,0,0,1,1
-84.8870000362396,0,753,16.1,0,0,1,1
-84.7859999656677,0,758,16.1,0,0,1,1
-84.6860000610352,0,754,16.1,0,0,1,1
-84.585999917984,0,749,16.1,0,0,1,1
-84.4850000858307,0,752,16.1,0,0,1,1
-84.3849999427795,0,752,16.1,0,0,1,1
-84.2840001106262,0,752,16.1,0,0,1,1
-84.1839999675751,0,750,16.1,0,0,1,1
-84.0829998970032,0,748,16.1,0,0,1,1
-83.9829999923706,0,747,16.1,0,0,1,1
-83.883000087738,0,750,16.1,0,0,1,1
-83.7820000171661,0,746,16.1,0,0,1,1
-83.6820001125336,0,748,16.1,0,0,1,1
-83.5810000419617,0,748,16.1,0,0,1,1
-83.4809998989105,0,747,16.1,0,0,1,1
-83.3800000667572,0,750,16.1,0,0,1,1
-83.2799999237061,0,750,16.1,0,0,1,1
-83.1790000915527,0,749,16.1,0,0,1,1
-83.0789999485016,0,752,16.1,0,0,1,1
-82.9780001163483,0,751,16.1,0,0,1,1
-82.8779999732971,0,752,16.1,0,0,1,1
-82.7769999027252,0,752,16.1,0,0,1,1
-82.6769999980927,0,748,16.1,0,0,1,1
-82.5770000934601,0,748,15.7,0,0,1,1
-82.4760000228882,0,751,16.1,0,0,1,1
-82.3760001182556,0,752,16.1,0,0,1,1
-82.2750000476837,0,752,16.1,0,0,1,1
-82.1749999046326,0,752,16.1,0,0,1,1
-82.075,0,752,16.1,0,0,1,1
-81.9739999294281,0,750,16.1,0,0,1,1
-81.8740000247955,0,754,16.1,0,0,1,1
-81.7729999542236,0,754,16.1,0,0,1,1
-81.6730000495911,0,760,16.1,0,0,1,1
-81.5729999065399,0,762,16.1,0,0,1,1
-81.4720000743866,0,762,16.1,0,0,1,1
-81.3719999313355,0,760,16.1,0,0,1,1
-81.2710000991821,0,759,16.1,0,0,1,1
-81.170999956131,0,757,16.1,0,0,1,1
-81.0699998855591,0,758,16.1,0,0,1,1
-80.9699999809265,0,755,16.1,0,0,1,1
-80.8689999103546,0,759,16.1,0,0,1,1
-80.769000005722,0,752,16.1,0,0,1,1
-80.6679999351501,0,754,16.1,0,0,1,1
-80.5680000305176,0,758,16.1,0,0,1,1
-80.4669999599457,0,758,16.1,0,0,1,1
-80.3670000553131,0,758,16.1,0,0,1,1
-80.266999912262,0,754,16.1,0,0,1,1
-80.1660000801086,0,752,16.1,0,0,1,1
-80.0659999370575,0,754,16.1,0,0,1,1
-79.9650001049042,0,758,16.1,0,0,1,1
-79.864999961853,0,756,16.1,0,0,1,1
-79.7650000572205,0,757,16.1,0,0,1,1
-79.6639999866486,0,752,16.1,0,0,1,1
-79.564000082016,0,748,16.1,0,0,1,1
-79.4630000114441,0,746,16.1,0,0,1,1
-79.3630001068115,0,746,16.1,0,0,1,1
-79.2620000362396,0,752,16.1,0,0,1,1
-79.1619998931885,0,751,16.1,0,0,1,1
-79.0610000610352,0,749,16.1,0,0,1,1
